State Id,Date,Number of infected (new),Number of Death (New),Number of Recovery (New)
29.0,27/4/2020,0.0,1.5323051571802873,10.432465231125166
29.0,28/4/2020,28.359200764045625,1.4982198297509588,14.261859477513433
29.0,29/4/2020,101.80215935354153,1.4812472035750899,22.5543695799488
29.0,30/4/2020,297.92232447619784,1.4676032094179132,45.972590587424975
29.0,1/5/2020,319.0288634934716,1.3997780646056945,56.18688524737456
29.0,2/5/2020,535.0976259097326,1.2961878995324048,87.71658327444477
29.0,3/5/2020,939.5536026674075,1.365336411889051,145.0517395332569
29.0,4/5/2020,104.45333035035412,1.5937387409292598,79.84075161477433
29.0,5/5/2020,104.1810243063444,1.991875687557836,80.72041499478027
29.0,6/5/2020,106.66666004837464,2.075708941047246,81.72934814556316
29.0,7/5/2020,109.83413547581904,2.0170420936599878,82.7671705370446
29.0,8/5/2020,113.50682510166371,1.8356873439861219,83.8707618608196
29.0,9/5/2020,117.57445404590499,2.2464674145618995,84.37135645429434
29.0,10/5/2020,121.97028671898465,2.0725174594027616,85.48293117999732
29.0,11/5/2020,126.65620380737437,2.2268848168445095,86.322217493993
29.0,12/5/2020,131.6128600016029,2.376947623941059,87.24573097821032
29.0,13/5/2020,136.83314668091498,2.3762211529474286,88.41920896919511
29.0,14/5/2020,142.31787056999542,2.2166089489200203,89.8664020411405
29.0,15/5/2020,148.07272982829934,2.339579924580179,91.15861801885607
29.0,16/5/2020,154.1066897621863,3.0164059832407495,92.03534540614937
29.0,17/5/2020,160.43111427631698,5.172029234630376,91.5811576058602
29.0,18/5/2020,167.05842571599715,7.495596446452161,91.11516280151307
29.0,19/5/2020,174.00190481392156,11.420794195334233,89.21118044040792
29.0,20/5/2020,181.27544789711328,18.345614319843257,84.4782368481346
29.0,21/5/2020,188.8934480489661,19.09093619906144,86.10218323092766
29.0,22/5/2020,196.8707538574131,19.648277514473644,88.09809881034016
29.0,23/5/2020,205.22267690608805,20.058941381885276,90.43126250249902
29.0,24/5/2020,213.96502684111874,20.358265136896016,93.07299607899682
29.0,25/5/2020,223.11416136902153,20.574985417619633,96.00137090415554
29.0,26/5/2020,232.6870431530274,20.732382407349945,99.20012054220084
29.0,27/5/2020,242.70082027351054,20.849268863310943,102.65750128683204
29.0,28/5/2020,253.17313785380927,20.940827654124956,106.36560224280664
29.0,29/5/2020,264.1238479014355,21.01931046939923,110.32034696551294
29.0,30/5/2020,275.57287909580737,21.09461438615075,114.52004733645695
29.0,31/5/2020,287.54100909292174,21.174753552876794,118.96525814847091
29.0,1/6/2020,300.04993591166294,21.266242467945126,123.6584267878539
29.0,2/6/2020,313.12238731670277,21.374405946057216,128.60362929881342
29.0,3/6/2020,326.7820839662349,21.503628957057536,133.80631041767268
29.0,4/6/2020,341.0538389278031,21.657556988092445,139.27312523147384
29.0,5/6/2020,355.963595642329,21.83925670694235,145.0117971973749
29.0,6/6/2020,371.5384776551555,22.051344580016554,151.03101288036353
29.0,7/6/2020,387.80683984110243,22.296089812107574,157.34034310789295
29.0,8/6/2020,356.1816215864137,22.575496780916687,172.87466794214055
29.0,9/6/2020,323.4221089798639,22.891371153646347,187.03274166964434
29.0,10/6/2020,325.90726450640614,23.245373047395915,192.7273322294717
29.0,11/6/2020,328.12260898694694,23.639059922804442,197.93506720386438
29.0,12/6/2020,330.1366245745175,24.07392135544372,202.73410459044194
29.0,13/6/2020,332.00078220331943,24.5514068922575,207.18429369905067
29.0,14/6/2020,333.7537639597303,25.07294891094883,211.3316495408309
29.0,15/6/2020,335.42463392462287,25.63998344558481,215.2117028933611
29.0,16/6/2020,337.03523050688455,26.25396563661672,218.85204002674925
29.0,17/6/2020,338.60197020948,26.9163833431237,222.274230575302
29.0,18/6/2020,340.1371792697037,27.628768816567717,225.49520427059528
29.0,19/6/2020,341.6501230738486,28.392709090661796,228.52836923365794
29.0,20/6/2020,343.1477544755744,29.209854841017304,231.38438510487447
29.0,21/6/2020,344.63530774850005,30.081928526616096,234.07181944094015
29.0,22/6/2020,346.11670860293725,31.010731778929106,236.59755792469306
29.0,23/6/2020,347.5949080979899,31.998152253552398,238.96717262948943
29.0,24/6/2020,349.072125873643,33.04617008409855,241.18518103452539
29.0,25/6/2020,350.55002219685684,34.14527310377761,243.2668091820573
29.0,26/6/2020,352.02986314358805,35.17257777634156,245.3400836676635
29.0,27/6/2020,353.51257000960413,36.11724569308114,247.42041829498942
29.0,28/6/2020,354.998870273369,36.994658000014056,249.49668219283933
29.0,29/6/2020,356.4892939775582,37.816591911320394,251.56096337383806
29.0,30/6/2020,357.98424422150765,38.59211347925728,253.6077841284966
29.0,1/7/2020,359.4840278030297,39.32824683904249,255.63346815287156
29.0,2/7/2020,360.9888762369528,40.030476067740175,257.63565691509103
29.0,3/7/2020,455.83721487225375,40.70312141606718,260.2101421029909
29.0,4/7/2020,470.3062523354138,41.34962136556457,263.8770407213877
29.0,5/7/2020,485.6097211812257,41.97274474083519,268.23716958974705
29.0,6/7/2020,501.6921939873173,42.574749629627846,273.2254866319911
29.0,7/7/2020,518.5175074606959,43.15750305368879,278.7948550418759
29.0,8/7/2020,536.0639510162819,43.7225707791144,284.91162368089914
29.0,9/7/2020,554.3210884630844,44.27128516137232,291.55247865855387
29.0,10/7/2020,573.2868696524475,44.80479624064317,298.701900887931
29.0,11/7/2020,592.9658168950118,45.32411036838778,306.3503879601966
29.0,12/7/2020,613.3675587125454,45.830119574060795,314.4930862699618
29.0,13/7/2020,634.5058052461391,46.32362365787047,323.12879591329875
29.0,14/7/2020,656.3974625639203,46.80534747327809,332.2591767024994
29.0,15/7/2020,679.0620987480561,47.27595362652441,341.88820630915274
29.0,16/7/2020,702.5215157053481,47.736052703643836,352.021763768014
29.0,17/7/2020,726.7993573439436,48.18621102920595,362.66728381502975
29.0,18/7/2020,751.9209306777102,48.62695674609991,373.83354959110017
29.0,19/7/2020,777.9131697490374,49.05878465334233,385.5305826751749
29.0,20/7/2020,804.8042751023495,49.54974099968813,397.7018256516655
29.0,21/7/2020,832.6237289933651,50.157388120936524,410.302132328125
29.0,22/7/2020,861.4023877312047,50.869583274271974,423.35699595509
29.0,23/7/2020,891.1722563890107,51.67749355138143,436.8893996829473
29.0,24/7/2020,921.9666044668193,52.57477328306707,450.92067272679265
29.0,25/7/2020,953.8198531542185,53.55695117584362,465.47103125664984
29.0,26/7/2020,986.7676570184049,54.62097575826007,480.5600620081186
29.0,27/7/2020,1020.847031861038,55.76487598595164,496.20711334748154
29.0,28/7/2020,1056.0961433606717,56.98750955774908,512.4314369305966
29.0,29/7/2020,1092.554486767538,58.28837581451887,529.2524568794789
29.0,30/7/2020,1130.2628849558857,59.667477052082475,546.6899035572911
29.0,31/7/2020,1169.2635193618553,61.12521535744336,564.7639286192742
29.0,1/8/2020,1209.5999690136596,62.662316418166945,583.495198323812
29.0,2/8/2020,1251.3172489581411,64.27977324740314,602.9049672231628
29.0,3/8/2020,1294.4618510218315,65.97880449660829,623.0151390815515
29.0,4/8/2020,1339.08178635225,67.76082400446708,643.8483180081834
29.0,5/8/2020,1385.2267445218786,69.62741901861398,665.4279107588064
29.0,6/8/2020,1432.9475699147188,71.5803337645997,687.7778766567241
29.0,7/8/2020,1482.297434876211,73.62145795334985,710.9233360813905
29.0,8/8/2020,1533.3307742269608,75.7528191952776,734.8900374391444
29.0,9/8/2020,1586.1038846358097,77.97657738590344,759.704668302733
29.0,10/8/2020,1640.6748687300208,80.2950214656868,785.3948320083817
29.0,11/8/2020,1697.103683036039,82.71056733688287,811.9890759566729
29.0,12/8/2020,1755.4521942366846,85.22575712987035,839.5169233997497
29.0,13/8/2020,1815.784231331454,87.8432597035023,868.0089021716815
29.0,14/8/2020,1878.1656433109674,90.56587112137996,897.4965767079958
,15/8/2020,1942.6643536975791,93.39651614301025,928.0125778466021
30.0,18/3/2020,30.0,0.0,0.0
30.0,19/3/2020,10.900223198037564,0.0,1.1100925901938277
30.0,20/3/2020,18.038107959020753,0.0,1.5718599525018087
30.0,21/3/2020,19.34919642958598,0.0,2.0706520416897845
30.0,22/3/2020,12.169943673550641,0.0,2.1379061889499775
30.0,23/3/2020,11.78484158205216,0.0,2.1912787669636558
30.0,24/3/2020,0.0,0.0,1.6476503787875298
30.0,25/3/2020,13.54299668494705,0.0,2.571121120615226
30.0,26/3/2020,0.0,0.0,2.263136853674405
30.0,27/3/2020,26.26536885563685,0.0,3.800989625800881
30.0,28/3/2020,7.0174482786798364,0.0,3.42426564013077
30.0,29/3/2020,8.467696215771902,0.0,3.7168259905553995
30.0,30/3/2020,57.49353580882794,0.0,6.76784649579713
30.0,31/3/2020,38.34095332119786,0.0,7.059076293984745
30.0,1/4/2020,72.60848124195093,0.0,10.175809870722595
30.0,2/4/2020,28.908784686486783,0.0,9.440935733913633
30.0,3/4/2020,121.68680558440259,0.0,15.89379409727674
30.0,4/4/2020,0.8764600545802499,0.03939734563059762,11.508030634009863
30.0,5/4/2020,152.32194837198045,0.08698689121850303,20.944656564032268
30.0,6/4/2020,87.66712825821745,0.21493188299002525,20.649421646538446
30.0,7/4/2020,97.76406187624187,0.2880217197357955,23.36805042374668
30.0,8/4/2020,30.930578636335298,0.3127503219310469,21.647315646599253
30.0,9/4/2020,157.17950841672734,0.29721908646004824,30.276471018270822
30.0,10/4/2020,260.54158440436515,0.23395805893110586,40.94082091709336
30.0,11/4/2020,198.30644528142716,0.614645150399179,43.54168251315489
30.0,12/4/2020,237.2392781129194,0.6932964683946883,50.91555414779277
30.0,13/4/2020,222.92706623174564,0.7081051881776297,55.948642273534915
30.0,14/4/2020,185.18053753513965,0.6657390993183314,59.03852194685959
30.0,15/4/2020,150.15449800250718,0.6254499098521745,61.18448016296943
30.0,16/4/2020,59.45903882918901,0.7515752803837046,58.73580587913885
30.0,17/4/2020,158.63523156192593,1.326284899603587,65.23329802052285
30.0,18/4/2020,254.51586512448955,1.8168730579723298,74.41431588207557
30.0,19/4/2020,314.4098229848188,1.9323991040494073,84.11295637205933
30.0,20/4/2020,245.84713348649973,2.4098493243695653,86.65668093910782
30.0,21/4/2020,214.75038151714418,2.2625695069569187,90.30927755028343
30.0,22/4/2020,195.0543653471069,2.7741436735659732,93.08918777381551
30.0,23/4/2020,0.0,2.9756547688288215,76.81638386582095
30.0,24/4/2020,31.242860995913365,3.4657802999000795,81.5154869147467
30.0,25/4/2020,81.41418833021066,3.401151514104087,84.12746880859582
30.0,26/4/2020,0.0,4.3842102000471295,76.29575899747172
30.0,27/4/2020,0.0,5.996161069228944,67.77191847129438
30.0,28/4/2020,228.14448891678626,6.5495274508585,85.25130458111627
30.0,29/4/2020,146.66406723837576,7.330830744333955,83.31899477815048
30.0,30/4/2020,222.25635262582637,7.9536323705810466,89.51913734377062
30.0,1/5/2020,0.0,8.378337234367876,56.519558349141704
30.0,2/5/2020,0.0,8.708750132331552,64.58504062155356
