State id,Date,Simulated total infected,Simulated total death,Simulated total recovery
6.0,31/3/2020,269.8568900491409,0.03878286360631085,50.6253921049517
6.0,1/4/2020,301.7246438777354,0.08646877527222868,58.57797405954584
6.0,2/4/2020,303.71359146531785,0.1480428668100042,63.999587737612664
6.0,3/4/2020,280.55558012572095,0.22961609298874447,66.41515040859402
6.0,4/4/2020,258.27939993732855,0.33875623879865824,68.44139819107085
6.0,5/4/2020,240.15488815430808,0.48821423749897913,70.53702844222444
6.0,6/4/2020,225.75579547894623,0.7384603677652277,72.69198106215582
6.0,7/4/2020,214.28105654880608,1.0587016267293647,74.91329412395945
6.0,8/4/2020,205.06480216612204,1.446243968183384,77.1729284688491
6.0,9/4/2020,197.605941595783,1.8731783792945702,79.47245616779989
6.0,10/4/2020,206.87708633533396,2.268535302104511,85.10287532356912
6.0,11/4/2020,204.00529753080312,2.6269374159141994,88.27085717764419
6.0,12/4/2020,228.3579492499489,2.965117024233206,97.70471285102089
6.0,13/4/2020,228.5241350816783,3.3101681430408663,101.776061262679
6.0,14/4/2020,224.69722614522374,3.6432088417116866,104.77715157233457
6.0,15/4/2020,220.69593374930324,3.9605831663884317,107.58233034977913
6.0,16/4/2020,217.16872781083842,4.395362586455748,110.23044676692945
6.0,17/4/2020,214.16233546483699,4.9101628189782565,112.78827594616563
6.0,18/4/2020,236.93647432439462,5.497600309524426,122.70065808357212
6.0,19/4/2020,251.55528973105754,6.123844892034633,130.52377584051555
6.0,20/4/2020,267.12301199871933,6.751098254880179,138.86356532600723
6.0,21/4/2020,283.70220406401853,7.3736629771648055,147.75932923607263
6.0,22/4/2020,301.3591104530165,7.991684267141291,157.24672349983877
6.0,23/4/2020,320.16392937670406,8.606099482397534,167.3629492654345
6.0,24/4/2020,340.1910999902303,9.217746306298071,178.14779280699105
6.0,25/4/2020,361.5196049134076,9.827262462386278,189.64388170785787
6.0,26/4/2020,384.2332885720819,10.435118722810477,201.8968166879718
6.0,27/4/2020,408.4211922224656,11.073932389024591,214.9230329200392
6.0,28/4/2020,434.17790674126695,11.717863820437216,228.8005892124998
6.0,29/4/2020,461.6039444281957,12.4266017636358,243.52538021793566
6.0,30/4/2020,490.8061311919631,13.146943823423538,259.2097662165727
6.0,1/5/2020,521.898020589577,13.868201811833732,275.9273916271214
6.0,2/5/2020,555.000331271201,14.588284910911177,293.74734020972045
6.0,3/5/2020,590.2414094559551,15.306836088223843,312.7412524467064
6.0,4/5/2020,627.844959944124,16.023843614069825,331.71145620584224
,5/5/2020,673.3579855791497,16.805030982242656,353.1545234029228
7.0,14/3/2020,30.0,0.0,0.0
7.0,15/3/2020,70.9670322090791,0.0,1.1751366661950813
7.0,16/3/2020,185.5828091037123,0.0,3.380975254076816
7.0,17/3/2020,498.9610645184152,0.0,8.420668478876703
7.0,18/3/2020,1137.914700656922,0.0,18.02887989626867
7.0,19/3/2020,1120.8567149454602,0.0,18.10202866629616
7.0,20/3/2020,446.0790467061781,0.0,17.009273210011976
7.0,21/3/2020,239.51331137743824,0.0,16.800321570131718
7.0,22/3/2020,185.5126700080545,0.0,10.172833849699828
